😀	grinning face	cheerful|cheery|face|grin|grinning|grinning face|happy|laugh|nice|smile|smiling|teeth
😃	grinning face with big eyes	awesome|big|eyes|face|grin|grinning|grinning face with big eyes|happy|mouth|open|smile|smiling|teeth|with|yay
😄	grinning face with smiling eyes	eye|eyes|face|grin|grinning|grinning face with smiling eyes|happy|laugh|lol|mouth|open|smile|smiling|with
😁	beaming face with smiling eyes	beaming|beaming face with smiling eyes|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth|with
😆	grinning squinting face	closed|eyes|face|grinning|grinning squinting face|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting
😅	grinning face with sweat	cold|dejected|excited|face|grinning|grinning face with sweat|mouth|nervous|open|smile|smiling|stress|stressed|sweat|with
🤣	rolling on the floor laughing	crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|laughing|lmao|lol|on|rofl|roflmao|rolling|rolling on the floor laughing|tear|the
😂	face with tears of joy	crying|face|face with tears of joy|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|of|rofl|roflmao|tear|tears|with
🙂	slightly smiling face	face|happy|slightly|slightly smiling face|smile|smiling
🙃	upside-down face	down|face|hehe|smile|upside|upside-down|upside-down face
🫠	melting face	disappear|dissolve|embarrassed|face|haha|heat|hot|liquid|lol|melt|melting|melting face|sarcasm|sarcastic
😉	winking face	face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winking face|winks
😊	smiling face with smiling eyes	blush|eye|eyes|face|glad|satisfied|smile|smiling|smiling face with smiling eyes|with
😇	smiling face with halo	angel|angelic|angels|blessed|face|fairy|fairytale|fantasy|halo|happy|innocent|peaceful|smile|smiling|smiling face with halo|spirit|tale|with
🥰	smiling face with hearts	3|adore|crush|face|heart|hearts|ily|love|romance|smile|smiling|smiling face with hearts|with|you
😍	smiling face with heart-eyes	143|bae|eye|eyes|face|feels|heart|heart-eyes|hearts|ily|kisses|love|romance|romantic|smile|smiling|smiling face with heart-eyes|with|xoxo
🤩	star-struck	excited|eyes|face|grinning|smile|star|star-struck|starry-eyed|struck|wow
😘	face blowing a kiss	a|adorbs|bae|blowing|face|face blowing a kiss|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you
😗	kissing face	143|date|dating|face|flirt|ily|kiss|kissing|kissing face|love|smooch|smooches|xoxo|you
☺️	smiling face	face|smiling
😚	kissing face with closed eyes	143|bae|blush|closed|date|dating|eye|eyes|face|flirt|ily|kisses|kissing|kissing face with closed eyes|smooches|with|xoxo
😙	kissing face with smiling eyes	143|closed|date|dating|eye|eyes|face|flirt|ily|kiss|kisses|kissing|kissing face with smiling eyes|love|night|smile|smiling|with
🥲	smiling face with tear	face|glad|grateful|happy|joy|pain|proud|relieved|smile|smiley|smiling|smiling face with tear|tear|touched|with
😋	face savoring food	delicious|eat|face|face savoring food|food|full|hungry|savor|savoring|smile|smiling|tasty|um|yum|yummy
😛	face with tongue	awesome|cool|face|face with tongue|nice|party|stuck-out|sweet|tongue|with
😜	winking face with tongue	crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck-out|tongue|wacky|weirdo|wink|winking|winking face with tongue|with|yolo
🤪	zany face	crazy|eye|eyes|face|goofy|large|small|zany|zany face
😝	squinting face with tongue	closed|eye|eyes|face|gross|horrible|omg|squinting|squinting face with tongue|stuck-out|taste|tongue|whatever|with|yolo
🤑	money-mouth face	face|money|money-mouth|money-mouth face|mouth|paid
🤗	smiling face with open hands	face|hands|hug|hugging|open|smiling|smiling face with open hands|with
🤭	face with hand over mouth	face|face with hand over mouth|giggle|giggling|hand|mouth|oops|over|realization|secret|shock|sudden|surprise|whoops|with
🫢	face with open eyes and hand over mouth	amazement|and|awe|disbelief|embarrass|eyes|face|face with open eyes and hand over mouth|gasp|hand|mouth|omg|open|over|quiet|scared|shock|surprise|with
🫣	face with peeking eye	captivated|embarrass|eye|face|face with peeking eye|hide|hiding|peek|peeking|peep|scared|shy|stare|with
🤫	shushing face	face|quiet|shh|shush|shushing|shushing face
🤔	thinking face	chin|consider|face|hmm|ponder|pondering|thinking|thinking face|wondering
🫡	saluting face	face|good|luck|ma’am|ok|respect|salute|saluting|saluting face|sir|troops|yes
🤐	zipper-mouth face	face|keep|mouth|quiet|secret|shut|zip|zipper|zipper-mouth|zipper-mouth face
🤨	face with raised eyebrow	disapproval|disbelief|distrust|emoji|eyebrow|face|face with raised eyebrow|hmm|mild|raised|skeptic|skeptical|skepticism|surprise|what|with
😐	neutral face	awkward|blank|deadpan|expressionless|face|fine|jealous|meh|neutral|neutral face|oh|shade|straight|unamused|unhappy|unimpressed|whatever
😑	expressionless face	awkward|dead|expressionless|expressionless face|face|fine|inexpressive|jealous|meh|not|oh|omg|straight|uh|unhappy|unimpressed|whatever
😶	face without mouth	awkward|blank|expressionless|face|face without mouth|mouth|mouthless|mute|quiet|secret|silence|silent|speechless|without
🫥	dotted line face	depressed|disappear|dotted|dotted line face|face|hidden|hide|introvert|invisible|line|meh|whatever|wtv
😶‍🌫️	face in clouds	clouds|face|in
😏	smirking face	boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smirking|smirking face|smug|snicker|suave|suspicious|swag
😒	unamused face	...|bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unamused face|unhappy|weird|whatever
🙄	face with rolling eyes	eyeroll|eyes|face|face with rolling eyes|rolling|shade|ugh|whatever|with
😬	grimacing face	awk|awkward|dentist|face|grimace|grimacing|grimacing face|grinning|smile|smiling
😮‍💨	face exhaling	blow|blowing|exhale|exhaling|exhausted|face|face exhaling|gasp|groan|relief|sigh|smiley|smoke|whisper|whistle
🤥	lying face	face|liar|lie|lying|lying face|pinocchio
🫨	shaking face	crazy|daze|earthquake|face|omg|panic|shaking|shaking face|shock|surprise|vibrate|whoa|wow
🙂‍↔️	head shaking horizontally	head|horizontally|shaking
🙂‍↕️	head shaking vertically	head|shaking|vertically
😌	relieved face	calm|face|peace|relief|relieved|relieved face|zen
😔	pensive face	awful|bored|dejected|died|disappointed|face|losing|lost|pensive|pensive face|sad|sucks
😪	sleepy face	crying|face|good|night|sad|sleep|sleeping|sleepy|sleepy face|tired
🤤	drooling face	drooling|drooling face|face
😴	sleeping face	bed|bedtime|face|good|goodnight|nap|night|sleep|sleeping|sleeping face|tired|whatever|yawn|zzz
🫩	face with bags under eyes	bags|bored|exhausted|eyes|face|face with bags under eyes|fatigued|late|sleepy|tired|under|weary|with
😷	face with medical mask	cold|dentist|dermatologist|doctor|dr|face|face with medical mask|germs|mask|medical|medicine|sick|with
🤒	face with thermometer	face|face with thermometer|ill|sick|thermometer|with
🤕	face with head-bandage	bandage|face|face with head-bandage|head|head-bandage|hurt|injury|ouch|with
🤢	nauseated face	face|gross|nasty|nauseated|nauseated face|sick|vomit
🤮	face vomiting	barf|ew|face|face vomiting|gross|puke|sick|spew|throw|up|vomit|vomiting
🤧	sneezing face	face|fever|flu|gesundheit|sick|sneeze|sneezing|sneezing face
🥵	hot face	dying|face|feverish|heat|hot|hot face|panting|red-faced|stroke|sweating|tongue
🥶	cold face	blue|blue-faced|cold|cold face|face|freezing|frostbite|icicles|subzero|teeth
🥴	woozy face	dizzy|drunk|eyes|face|intoxicated|mouth|tipsy|uneven|wavy|woozy|woozy face
😵	face with crossed-out eyes	crossed|crossed-out|dead|dizzy|eyes|face|face with crossed-out eyes|feels|knocked|out|sick|tired|with
😵‍💫	face with spiral eyes	confused|dizzy|eyes|face|face with spiral eyes|hypnotized|omg|smiley|spiral|trouble|whoa|with|woah|woozy
🤯	exploding head	blown|explode|exploding|exploding head|head|mind|mindblown|no|shocked|way
🤠	cowboy hat face	cowboy|cowboy hat face|cowgirl|face|hat
🥳	partying face	bday|birthday|celebrate|celebration|excited|face|happy|hat|hooray|horn|party|partying|partying face
🥸	disguised face	disguise|disguised|disguised face|eyebrow|face|glasses|incognito|moustache|mustache|nose|person|spy|tache|tash
😎	smiling face with sunglasses	awesome|beach|bright|bro|chilling|cool|face|rad|relaxed|shades|slay|smile|smiling|smiling face with sunglasses|style|sunglasses|swag|win|with
🤓	nerd face	brainy|clever|expert|face|geek|gifted|glasses|intelligent|nerd|nerd face|smart
🧐	face with monocle	classy|face|face with monocle|fancy|monocle|rich|stuffy|wealthy|with
😕	confused face	befuddled|confused|confused face|confusing|dunno|face|frown|hm|meh|not|sad|sorry|sure
🫤	face with diagonal mouth	confused|confusion|diagonal|disappointed|doubt|doubtful|face|face with diagonal mouth|frustrated|frustration|meh|mouth|skeptical|unsure|whatever|with|wtv
😟	worried face	anxious|butterflies|face|nerves|nervous|sad|stress|stressed|surprised|worried|worried face|worry
🙁	slightly frowning face	face|frown|frowning|sad|slightly|slightly frowning face
☹️	frowning face	face|frowning
😮	face with open mouth	believe|face|face with open mouth|forgot|mouth|omg|open|shocked|surprised|sympathy|unbelievable|unreal|whoa|with|wow|you
😯	hushed face	epic|face|hushed|hushed face|omg|stunned|surprised|whoa|woah
😲	astonished face	astonished|astonished face|cost|face|no|omg|shocked|totally|way
😳	flushed face	amazed|awkward|crazy|dazed|dead|disbelief|embarrassed|face|flushed|flushed face|geez|heat|hot|impressed|jeez|what|wow
🫪	distorted face	anxiety|bloated|distorted|distorted face|face|panic|shocked|surprised|vulnerable
🥺	pleading face	begging|big|eyes|face|mercy|not|pleading|pleading face|please|pretty|puppy|sad|why
🥹	face holding back tears	admiration|aww|back|cry|embarrassed|face|face holding back tears|feelings|grateful|gratitude|holding|joy|please|proud|resist|sad|tears
😦	frowning face with open mouth	caught|face|frown|frowning|frowning face with open mouth|guard|mouth|open|scared|scary|surprise|what|with|wow
😧	anguished face	anguished|anguished face|face|forgot|scared|scary|stressed|surprise|unhappy|what|wow
😨	fearful face	afraid|anxious|blame|face|fear|fearful|fearful face|scared|worried
😰	anxious face with sweat	anxious|anxious face with sweat|blue|cold|eek|face|mouth|nervous|open|rushed|scared|sweat|with|yikes
😥	sad but relieved face	anxious|but|call|close|complicated|disappointed|face|not|relieved|sad|sad but relieved face|sweat|time|whew
😢	crying face	awful|cry|crying|crying face|face|feels|miss|sad|tear|triste|unhappy
😭	loudly crying face	bawling|cry|crying|face|loudly|loudly crying face|sad|sob|tear|tears|unhappy
😱	face screaming in fear	epic|face|face screaming in fear|fear|fearful|in|munch|scared|scream|screamer|screaming|shocked|surprised|woah
😖	confounded face	annoyed|confounded|confounded face|confused|cringe|distraught|face|feels|frustrated|mad|sad
😣	persevering face	concentrate|concentration|face|focus|headache|persevere|persevering|persevering face
😞	disappointed face	awful|blame|dejected|disappointed|disappointed face|face|fail|losing|sad|unhappy
😓	downcast face with sweat	close|cold|downcast|downcast face with sweat|face|feels|headache|nervous|sad|scared|sweat|with|yikes
😩	weary face	crying|face|fail|feels|hungry|mad|nooo|sad|sleepy|tired|unhappy|weary|weary face
😫	tired face	cost|face|feels|nap|sad|sneeze|tired|tired face
🥱	yawning face	bedtime|bored|face|goodnight|nap|night|sleep|sleepy|tired|whatever|yawn|yawning|yawning face|zzz
😤	face with steam from nose	anger|angry|face|face with steam from nose|feels|from|fume|fuming|furious|fury|mad|nose|steam|triumph|unhappy|with|won
😡	enraged face	anger|angry|enraged|enraged face|face|feels|mad|maddening|pouting|rage|red|shade|unhappy|upset
😠	angry face	anger|angry|angry face|blame|face|feels|frustrated|mad|maddening|rage|shade|unhappy|upset
🤬	face with symbols on mouth	censor|cursing|cussing|face|face with symbols on mouth|mad|mouth|on|pissed|swearing|symbols|with
😈	smiling face with horns	demon|devil|evil|face|fairy|fairytale|fantasy|horns|purple|shade|smile|smiling|smiling face with horns|tale|with
👿	angry face with horns	angry|angry face with horns|demon|devil|evil|face|fairy|fairytale|fantasy|horns|imp|mischievous|purple|shade|tale|with
💀	skull	body|dead|death|face|fairy|fairytale|i’m|lmao|monster|skull|tale|yolo
☠️	skull and crossbones	and|crossbones|skull
💩	pile of poo	bs|comic|doo|dung|face|fml|monster|of|pile|pile of poo|poo|poop|smelly|smh|stink|stinks|stinky|turd
🤡	clown face	clown|clown face|face
👹	ogre	creature|devil|face|fairy|fairytale|fantasy|mask|monster|ogre|scary|tale
👺	goblin	angry|creature|face|fairy|fairytale|fantasy|goblin|mask|mean|monster|tale
👻	ghost	boo|creature|excited|face|fairy|fairytale|fantasy|ghost|halloween|haunting|monster|scary|silly|tale
👽	alien	alien|creature|extraterrestrial|face|fairy|fairytale|fantasy|monster|space|tale|ufo
👾	alien monster	alien|alien monster|creature|extraterrestrial|face|fairy|fairytale|fantasy|game|gamer|games|monster|pixelated|space|tale|ufo
🤖	robot	face|monster|robot
😺	grinning cat	animal|cat|face|grinning|grinning cat|mouth|open|smile|smiling
😸	grinning cat with smiling eyes	animal|cat|eye|eyes|face|grin|grinning|grinning cat with smiling eyes|smile|smiling|with
😹	cat with tears of joy	animal|cat|cat with tears of joy|face|joy|laugh|laughing|lol|of|tear|tears|with
😻	smiling cat with heart-eyes	animal|cat|eye|eyes|face|heart|heart-eyes|love|smile|smiling|smiling cat with heart-eyes|with
😼	cat with wry smile	animal|cat|cat with wry smile|face|ironic|smile|with|wry
😽	kissing cat	animal|cat|closed|eye|eyes|face|kiss|kissing|kissing cat
🙀	weary cat	animal|cat|face|oh|surprised|weary|weary cat
😿	crying cat	animal|cat|cry|crying|crying cat|face|sad|tear
😾	pouting cat	animal|cat|face|pouting|pouting cat
🙈	see-no-evil monkey	embarrassed|evil|face|forbidden|forgot|gesture|hide|monkey|no|omg|prohibited|scared|secret|see|see-no-evil monkey|smh|watch
🙉	hear-no-evil monkey	animal|ears|evil|face|forbidden|gesture|hear|hear-no-evil monkey|listen|monkey|no|not|prohibited|secret|shh|tmi
🙊	speak-no-evil monkey	animal|evil|face|forbidden|gesture|monkey|no|not|oops|prohibited|quiet|secret|speak|speak-no-evil monkey|stealth
💌	love letter	heart|letter|love|love letter|mail|romance|valentine
💘	heart with arrow	143|adorbs|arrow|cupid|date|emotion|heart|heart with arrow|ily|love|romance|valentine|with
💝	heart with ribbon	143|anniversary|emotion|heart|heart with ribbon|ily|kisses|ribbon|valentine|with|xoxo
💖	sparkling heart	143|emotion|excited|good|heart|ily|kisses|morning|night|sparkle|sparkling|sparkling heart|xoxo
💗	growing heart	143|emotion|excited|growing|growing heart|heart|heartpulse|ily|kisses|muah|nervous|pulse|xoxo
💓	beating heart	143|beating|beating heart|cardio|emotion|heart|heartbeat|ily|love|pulsating|pulse
💞	revolving hearts	143|adorbs|anniversary|emotion|heart|hearts|revolving|revolving hearts
💕	two hearts	143|anniversary|date|dating|emotion|heart|hearts|ily|kisses|love|loving|two|two hearts|xoxo
💟	heart decoration	143|decoration|emotion|heart|heart decoration|hearth|purple|white
❣️	heart exclamation	exclamation|heart
💔	broken heart	break|broken|broken heart|crushed|emotion|heart|heartbroken|lonely|sad
❤️‍🔥	heart on fire	fire|heart|on
❤️‍🩹	mending heart	heart|mending
❤️	red heart	heart|red
🩷	pink heart	143|adorable|cute|emotion|heart|ily|like|love|pink|pink heart|special|sweet
🧡	orange heart	143|heart|orange|orange heart
💛	yellow heart	143|cardiac|emotion|heart|ily|love|yellow|yellow heart
💚	green heart	143|emotion|green|green heart|heart|ily|love|romantic
💙	blue heart	143|blue|blue heart|emotion|heart|ily|love|romance
🩵	light blue heart	143|blue|cute|cyan|emotion|heart|ily|light|light blue heart|like|love|sky|special|teal
💜	purple heart	143|bestest|emotion|heart|ily|love|purple|purple heart
🤎	brown heart	143|brown|brown heart|heart
🖤	black heart	black|black heart|evil|heart|wicked
🩶	grey heart	143|emotion|gray|grey|grey heart|heart|ily|love|silver|slate|special
🤍	white heart	143|heart|white|white heart
💋	kiss mark	dating|emotion|heart|kiss|kiss mark|kissing|lips|mark|romance|sexy
💯	hundred points	100|a+|agree|clearly|definitely|faithful|fleek|full|hundred|hundred points|keep|perfect|point|points|score|true|truth|yup
💢	anger symbol	anger|anger symbol|angry|comic|mad|symbol|upset
🫯	fight cloud	argument|brawl|cloud|debate|disagreement|fight|fight cloud|ruckus|wrestle
💥	collision	bomb|boom|collide|collision|comic|explode
💫	dizzy	comic|dizzy|shining|shooting|star|stars
💦	sweat droplets	comic|drip|droplet|droplets|drops|splashing|squirt|sweat|sweat droplets|water|wet|work|workout
💨	dashing away	away|cloud|comic|dash|dashing|dashing away|fart|fast|go|gone|gotta|running|smoke
🕳️	hole	hole
💬	speech balloon	balloon|bubble|comic|dialog|message|sms|speech|speech balloon|talk|text|typing
👁️‍🗨️	eye in speech bubble	bubble|eye|in|speech
🗨️	left speech bubble	bubble|left|speech
🗯️	right anger bubble	anger|bubble|right
💭	thought balloon	balloon|bubble|cartoon|cloud|comic|daydream|decisions|dream|idea|invent|invention|realize|think|thought|thought balloon|thoughts|wonder
💤	zzz	comic|good|goodnight|night|sleep|sleeping|sleepy|tired|zzz
👋	waving hand	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|ttfn|ttyl|wave|waving|waving hand|yo|you
👋🏻	waving hand: light skin tone	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|light|light skin tone|outtie|skin|tone|ttfn|ttyl|wave|waving|waving hand: light skin tone|yo|you
👋🏼	waving hand: medium-light skin tone	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|light|medium|medium-light skin tone|outtie|skin|tone|ttfn|ttyl|wave|waving|waving hand: medium-light skin tone|yo|you
👋🏽	waving hand: medium skin tone	bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium|medium skin tone|outtie|skin|tone|ttfn|ttyl|wave|waving|waving hand: medium skin tone|yo|you
👋🏾	waving hand: medium-dark skin tone	bye|cya|dark|g2g|greetings|gtg|hand|hello|hey|hi|later|medium|medium-dark skin tone|outtie|skin|tone|ttfn|ttyl|wave|waving|waving hand: medium-dark skin tone|yo|you
👋🏿	waving hand: dark skin tone	bye|cya|dark|dark skin tone|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|skin|tone|ttfn|ttyl|wave|waving|waving hand: dark skin tone|yo|you
🤚	raised back of hand	back|backhand|hand|of|raised|raised back of hand
🤚🏻	raised back of hand: light skin tone	back|backhand|hand|light|light skin tone|of|raised|raised back of hand: light skin tone|skin|tone
🤚🏼	raised back of hand: medium-light skin tone	back|backhand|hand|light|medium|medium-light skin tone|of|raised|raised back of hand: medium-light skin tone|skin|tone
🤚🏽	raised back of hand: medium skin tone	back|backhand|hand|medium|medium skin tone|of|raised|raised back of hand: medium skin tone|skin|tone
🤚🏾	raised back of hand: medium-dark skin tone	back|backhand|dark|hand|medium|medium-dark skin tone|of|raised|raised back of hand: medium-dark skin tone|skin|tone
🤚🏿	raised back of hand: dark skin tone	back|backhand|dark|dark skin tone|hand|of|raised|raised back of hand: dark skin tone|skin|tone
🖐️	hand with fingers splayed	fingers|hand|splayed|with
🖐🏻	hand with fingers splayed: light skin tone	finger|fingers|hand|hand with fingers splayed: light skin tone|light|light skin tone|raised|skin|splayed|stop|tone|with
🖐🏼	hand with fingers splayed: medium-light skin tone	finger|fingers|hand|hand with fingers splayed: medium-light skin tone|light|medium|medium-light skin tone|raised|skin|splayed|stop|tone|with
🖐🏽	hand with fingers splayed: medium skin tone	finger|fingers|hand|hand with fingers splayed: medium skin tone|medium|medium skin tone|raised|skin|splayed|stop|tone|with
🖐🏾	hand with fingers splayed: medium-dark skin tone	dark|finger|fingers|hand|hand with fingers splayed: medium-dark skin tone|medium|medium-dark skin tone|raised|skin|splayed|stop|tone|with
🖐🏿	hand with fingers splayed: dark skin tone	dark|dark skin tone|finger|fingers|hand|hand with fingers splayed: dark skin tone|raised|skin|splayed|stop|tone|with
✋	raised hand	5|five|hand|high|raised|raised hand|stop
✋🏻	raised hand: light skin tone	5|five|hand|high|light|light skin tone|raised|raised hand: light skin tone|skin|stop|tone
✋🏼	raised hand: medium-light skin tone	5|five|hand|high|light|medium|medium-light skin tone|raised|raised hand: medium-light skin tone|skin|stop|tone
✋🏽	raised hand: medium skin tone	5|five|hand|high|medium|medium skin tone|raised|raised hand: medium skin tone|skin|stop|tone
✋🏾	raised hand: medium-dark skin tone	5|dark|five|hand|high|medium|medium-dark skin tone|raised|raised hand: medium-dark skin tone|skin|stop|tone
✋🏿	raised hand: dark skin tone	5|dark|dark skin tone|five|hand|high|raised|raised hand: dark skin tone|skin|stop|tone
🖖	vulcan salute	finger|hand|hands|salute|vulcan|vulcan salute
🖖🏻	vulcan salute: light skin tone	finger|hand|hands|light|light skin tone|salute|skin|tone|vulcan|vulcan salute: light skin tone
🖖🏼	vulcan salute: medium-light skin tone	finger|hand|hands|light|medium|medium-light skin tone|salute|skin|tone|vulcan|vulcan salute: medium-light skin tone
🖖🏽	vulcan salute: medium skin tone	finger|hand|hands|medium|medium skin tone|salute|skin|tone|vulcan|vulcan salute: medium skin tone
🖖🏾	vulcan salute: medium-dark skin tone	dark|finger|hand|hands|medium|medium-dark skin tone|salute|skin|tone|vulcan|vulcan salute: medium-dark skin tone
🖖🏿	vulcan salute: dark skin tone	dark|dark skin tone|finger|hand|hands|salute|skin|tone|vulcan|vulcan salute: dark skin tone
🫱	rightwards hand	hand|handshake|hold|reach|right|rightward|rightwards|rightwards hand|shake
🫱🏻	rightwards hand: light skin tone	hand|handshake|hold|light|light skin tone|reach|right|rightward|rightwards|rightwards hand: light skin tone|shake|skin|tone
🫱🏼	rightwards hand: medium-light skin tone	hand|handshake|hold|light|medium|medium-light skin tone|reach|right|rightward|rightwards|rightwards hand: medium-light skin tone|shake|skin|tone
🫱🏽	rightwards hand: medium skin tone	hand|handshake|hold|medium|medium skin tone|reach|right|rightward|rightwards|rightwards hand: medium skin tone|shake|skin|tone
🫱🏾	rightwards hand: medium-dark skin tone	dark|hand|handshake|hold|medium|medium-dark skin tone|reach|right|rightward|rightwards|rightwards hand: medium-dark skin tone|shake|skin|tone
🫱🏿	rightwards hand: dark skin tone	dark|dark skin tone|hand|handshake|hold|reach|right|rightward|rightwards|rightwards hand: dark skin tone|shake|skin|tone
🫲	leftwards hand	hand|handshake|hold|left|leftward|leftwards|leftwards hand|reach|shake
🫲🏻	leftwards hand: light skin tone	hand|handshake|hold|left|leftward|leftwards|leftwards hand: light skin tone|light|light skin tone|reach|shake|skin|tone
🫲🏼	leftwards hand: medium-light skin tone	hand|handshake|hold|left|leftward|leftwards|leftwards hand: medium-light skin tone|light|medium|medium-light skin tone|reach|shake|skin|tone
🫲🏽	leftwards hand: medium skin tone	hand|handshake|hold|left|leftward|leftwards|leftwards hand: medium skin tone|medium|medium skin tone|reach|shake|skin|tone
🫲🏾	leftwards hand: medium-dark skin tone	dark|hand|handshake|hold|left|leftward|leftwards|leftwards hand: medium-dark skin tone|medium|medium-dark skin tone|reach|shake|skin|tone
🫲🏿	leftwards hand: dark skin tone	dark|dark skin tone|hand|handshake|hold|left|leftward|leftwards|leftwards hand: dark skin tone|reach|shake|skin|tone
🫳	palm down hand	dismiss|down|drop|dropped|hand|palm|palm down hand|pick|shoo|up
🫳🏻	palm down hand: light skin tone	dismiss|down|drop|dropped|hand|light|light skin tone|palm|palm down hand: light skin tone|pick|shoo|skin|tone|up
🫳🏼	palm down hand: medium-light skin tone	dismiss|down|drop|dropped|hand|light|medium|medium-light skin tone|palm|palm down hand: medium-light skin tone|pick|shoo|skin|tone|up
🫳🏽	palm down hand: medium skin tone	dismiss|down|drop|dropped|hand|medium|medium skin tone|palm|palm down hand: medium skin tone|pick|shoo|skin|tone|up
🫳🏾	palm down hand: medium-dark skin tone	dark|dismiss|down|drop|dropped|hand|medium|medium-dark skin tone|palm|palm down hand: medium-dark skin tone|pick|shoo|skin|tone|up
🫳🏿	palm down hand: dark skin tone	dark|dark skin tone|dismiss|down|drop|dropped|hand|palm|palm down hand: dark skin tone|pick|shoo|skin|tone|up
🫴	palm up hand	beckon|catch|come|hand|hold|know|lift|me|offer|palm|palm up hand|tell|up
🫴🏻	palm up hand: light skin tone	beckon|catch|come|hand|hold|know|lift|light|light skin tone|me|offer|palm|palm up hand: light skin tone|skin|tell|tone|up
🫴🏼	palm up hand: medium-light skin tone	beckon|catch|come|hand|hold|know|lift|light|me|medium|medium-light skin tone|offer|palm|palm up hand: medium-light skin tone|skin|tell|tone|up
🫴🏽	palm up hand: medium skin tone	beckon|catch|come|hand|hold|know|lift|me|medium|medium skin tone|offer|palm|palm up hand: medium skin tone|skin|tell|tone|up
🫴🏾	palm up hand: medium-dark skin tone	beckon|catch|come|dark|hand|hold|know|lift|me|medium|medium-dark skin tone|offer|palm|palm up hand: medium-dark skin tone|skin|tell|tone|up
🫴🏿	palm up hand: dark skin tone	beckon|catch|come|dark|dark skin tone|hand|hold|know|lift|me|offer|palm|palm up hand: dark skin tone|skin|tell|tone|up
🫷	leftwards pushing hand	block|five|halt|hand|high|hold|leftward|leftwards|leftwards pushing hand|pause|push|pushing|refuse|slap|stop|wait
🫷🏻	leftwards pushing hand: light skin tone	block|five|halt|hand|high|hold|leftward|leftwards|leftwards pushing hand: light skin tone|light|light skin tone|pause|push|pushing|refuse|skin|slap|stop|tone|wait
🫷🏼	leftwards pushing hand: medium-light skin tone	block|five|halt|hand|high|hold|leftward|leftwards|leftwards pushing hand: medium-light skin tone|light|medium|medium-light skin tone|pause|push|pushing|refuse|skin|slap|stop|tone|wait
🫷🏽	leftwards pushing hand: medium skin tone	block|five|halt|hand|high|hold|leftward|leftwards|leftwards pushing hand: medium skin tone|medium|medium skin tone|pause|push|pushing|refuse|skin|slap|stop|tone|wait
🫷🏾	leftwards pushing hand: medium-dark skin tone	block|dark|five|halt|hand|high|hold|leftward|leftwards|leftwards pushing hand: medium-dark skin tone|medium|medium-dark skin tone|pause|push|pushing|refuse|skin|slap|stop|tone|wait
🫷🏿	leftwards pushing hand: dark skin tone	block|dark|dark skin tone|five|halt|hand|high|hold|leftward|leftwards|leftwards pushing hand: dark skin tone|pause|push|pushing|refuse|skin|slap|stop|tone|wait
🫸	rightwards pushing hand	block|five|halt|hand|high|hold|pause|push|pushing|refuse|rightward|rightwards|rightwards pushing hand|slap|stop|wait
🫸🏻	rightwards pushing hand: light skin tone	block|five|halt|hand|high|hold|light|light skin tone|pause|push|pushing|refuse|rightward|rightwards|rightwards pushing hand: light skin tone|skin|slap|stop|tone|wait
🫸🏼	rightwards pushing hand: medium-light skin tone	block|five|halt|hand|high|hold|light|medium|medium-light skin tone|pause|push|pushing|refuse|rightward|rightwards|rightwards pushing hand: medium-light skin tone|skin|slap|stop|tone|wait
🫸🏽	rightwards pushing hand: medium skin tone	block|five|halt|hand|high|hold|medium|medium skin tone|pause|push|pushing|refuse|rightward|rightwards|rightwards pushing hand: medium skin tone|skin|slap|stop|tone|wait
🫸🏾	rightwards pushing hand: medium-dark skin tone	block|dark|five|halt|hand|high|hold|medium|medium-dark skin tone|pause|push|pushing|refuse|rightward|rightwards|rightwards pushing hand: medium-dark skin tone|skin|slap|stop|tone|wait
🫸🏿	rightwards pushing hand: dark skin tone	block|dark|dark skin tone|five|halt|hand|high|hold|pause|push|pushing|refuse|rightward|rightwards|rightwards pushing hand: dark skin tone|skin|slap|stop|tone|wait
👌	ok hand	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|ok|ok hand|okay|pinch|rad|sure|sweet|three
👌🏻	ok hand: light skin tone	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|light|light skin tone|ok|ok hand: light skin tone|okay|pinch|rad|skin|sure|sweet|three|tone
👌🏼	ok hand: medium-light skin tone	awesome|bet|dope|fleek|fosho|got|gotcha|hand|legit|light|medium|medium-light skin tone|ok|ok hand: medium-light skin tone|okay|pinch|rad|skin|sure|sweet|three|tone
